1A,M2A,M3A,M4A,M5A,M6A,M7A,M8A,M9A
Not assigned,Not assigned,North York,North York,Downtown Toronto,North York,Queen's Park,Not assigned,Etobicoke
,,(Parkwoods),(Victoria Village),(Regent Park / Harbourfront),(Lawrence Manor / Lawrence Heights),(Ontario Provincial Government),,(Islington Avenue)
M1B,M2B,M3B,M4B,M5B,M6B,M7B,M8B,M9B
Scarborough,Not assigned,North York,East York,Downtown Toronto,North York,Not assigned,Not assigned,Etobicoke
(Malvern / Rouge),,(Don Mills),(Parkview Hill / Woodbine Gardens),"(Garden District, Ryerson)",(Glencairn),,,(West Deane Park / Princess Gardens / Martin Grove / Islington / Cloverdale)
,,North,,,,,,
M1C,M2C,M3C,M4C,M5C,M6C,M7C,M8C,M9C
Scarborough,Not assigned,North York,East York,Downtown Toronto,York,Not assigned,Not assigned,Etobicoke
(Rouge Hill / Port Union / Highland Creek),,(Don Mills),(Woodbine Heights),(St. James Town),(Humewood-Cedarvale),,,(Eringate / Bloordale Gardens / Old Burnhamthorpe / Markland Wood)
,,South,,,,,,
,,(Flemingdon Park),,,,,,
M1E,M2E,M3E,M4E,M5E,M6E,M7E,M8E,M9E
Scarborough,Not assigned,Not assigned,East Toronto,Downtown Toronto,York,Not assigned,Not assigned,Not assigned
(Guildwood / Morningside / West Hill),,,(The Beaches),(Berczy Park),(Caledonia-Fairbanks),,,
M1G,M2G,M3G,M4G,M5G,M6G,M7G,M8G,M9G
Scarborough,Not assigned,Not assigned,East York,Downtown Toronto,Downtown Toronto,Not assigned,Not assigned,Not assigned
(Woburn),,,(Leaside),(Central Bay Street),(Christie),,,
M1H,M2H,M3H,M4H,M5H,M6H,M7H,M8H,M9H
Scarborough,North York,North York,East York,Downtown Toronto,West Toronto,Not assigned,Not assigned,Not assigned
(Cedarbrae),(Hillcrest Village),(Bathurst Manor / Wilson Heights / Downsview North),(Thorncliffe Park),(Richmond / Adelaide / King),(Dufferin / Dovercourt Village),,,
M1J,M2J,M3J,M4J,M5J,M6J,M7J,M8J,M9J
Scarborough,North York,North York,East York,Downtown Toronto,West Toronto,Not assigned,Not assigned,Not assigned
(Scarborough Village),(Fairview / Henry Farm/ Oriole),(Northwood Park / York University),East Toronto,(Harbourfront East / Union Station / Toronto Islands),(Little Portugal / Trinity),,,
,,,(The Danforth ,,,,,
,,,East),,,,,
M1K,M2K,M3K,M4K,M5K,M6K,M7K,M8K,M9K
Scarborough,North York,North York,East Toronto,Downtown Toronto,West Toronto,Not assigned,Not assigned,Not assigned
(Kennedy Park / Ionview / East Birchmount Park),(Bayview Village),(Downsview),(The Danforth West / Riverdale),(Toronto Dominion Centre / Design Exchange),(Brockton / Parkdale Village / Exhibition Place),,,
,,East ,,,,,,
,,(CFB Toronto),,,,,,
M1L,M2L,M3L,M4L,M5L,M6L,M7L,M8L,M9L
Scarborough,North York,North York,East Toronto,Downtown Toronto,North York,Not assigned,Not assigned,North York
(Golden Mile / Clairlea/ Oakridge),(York Mills / Silver Hills),(Downsview),(India Bazaar / The Beaches West),(Commerce Court / Victoria Hotel),(North Park / Maple Leaf Park / Upwood Park),,,(Humber Summit)
,,West,,,,,,
M1M,M2M,M3M,M4M,M5M,M6M,M7M,M8M,M9M
Scarborough,North York,North York,East Toronto,North York,York,Not assigned,Not assigned,North York
(Cliffside / Cliffcrest / Scarborough VillageWest),(Willowdale / Newtonbrook),(Downsview),(Studio District),(Bedford Park / Lawrence Manor East),(Del Ray / Mount Dennis / Keelsdale and Silverthorn),,,(Humberlea / Emery)
,,Central,,,,,,
M1N,M2N,M3N,M4N,M5N,M6N,M7N,M8N,M9N
Scarborough,North York,North York,Central Toronto,Central Toronto,York,Not assigned,Not assigned,York
(Birch Cliff / CliffsideWest),(Willowdale),(Downsview),(Lawrence Park),(Roselawn),(Runnymede / The Junction North),,,(Weston)
,South,Northwest,,,,,,
M1P,M2P,M3P,M4P,M5P,M6P,M7P,M8P,M9P
Scarborough,North York,Not assigned,Central Toronto,Central Toronto,West Toronto,Not assigned,Not assigned,Etobicoke
(Dorset Park / Wexford Heights / Scarborough Town Centre),(York Mills West),,(Davisville North),(Forest Hill North & West),(High Park / The Junction South),,,(Westmount)
M1R,M2R,M3R,M4R,M5R,M6R,M7R,M8R,M9R
Scarborough,North York,Not assigned,Central Toronto,Central Toronto,West Toronto,Mississauga,Not assigned,Etobicoke
(Wexford / Maryvale),(Willowdale),,(North Toronto West),(The Annex / North Midtown / Yorkville),(Parkdale / Roncesvalles),Canada Post Gateway Processing Centre,,(Kingsview Village / St. Phillips / Martin Grove Gardens / Richview Gardens)
,West,,,,,(Enclave of L4W),,
M1S,M2S,M3S,M4S,M5S,M6S,M7S,M8S,M9S
Scarborough,Not assigned,Not assigned,Central Toronto,Downtown Toronto,West Toronto,Not assigned,Not assigned,Not assigned
(Agincourt) ,,,(Davisville),(University of Toronto / Harbord),(Runnymede / Swansea),,,
M1T,M2T,M3T,M4T,M5T,M6T,M7T,M8T,M9T
Scarborough,Not assigned,Not assigned,Central Toronto,Downtown Toronto,Not assigned,Not assigned,Not assigned,Not assigned
(Clarks Corners / Tam O'Shanter / Sullivan),,,(Moore Park / Summerhill East),(Kensington Market / Chinatown / Grange Park),,,,
M1V,M2V,M3V,M4V,M5V,M6V,M7V,M8V,M9V
Scarborough,Not assigned,Not assigned,Central Toronto,Downtown Toronto,Not assigned,Not assigned,Etobicoke,Etobicoke
(Milliken / Agincourt North / Steeles East / L'Amoreaux East),,,(Summerhill West / Rathnelly / South Hill / Forest Hill SE / Deer Park),(CN Tower / King and Spadina / Railway Lands / HarbourfrontWest / Bathurst Quay / South Niagara / Island airport),,,(New Toronto / MimicoSouth / Humber Bay Shores),(South Steeles / Silverstone / Humbergate / Jamestown / Mount Olive / Beaumond Heights / Thistletown / Albion Gardens)
M1W,M2W,M3W,M4W,M5W,M6W,M7W,M8W,M9W
Scarborough,Not assigned,Not assigned,Downtown Toronto,Downtown Toronto,Not assigned,Not assigned,Etobicoke,Etobicoke
(Steeles West / L'Amoreaux West),,,(Rosedale),Stn A PO Boxes,,,(Alderwood / Long Branch),Northwest
,,,,25 The Esplanade,,,,(Clairville / Humberwood / Woodbine Downs / West Humber / Kipling Heights / Rexdale / Elms / Tandridge / Old Rexdale)
,,,,(Enclave of M5E),,,,
M1X,M2X,M3X,M4X,M5X,M6X,M7X,M8X,M9X
Scarborough,Not assigned,Not assigned,Downtown Toronto,Downtown Toronto,Not assigned,Not assigned,Etobicoke,Not assigned
(Upper Rouge),,,(St. James Town / Cabbagetown),(First Canadian Place / Underground city),,,(The Kingsway / Montgomery Road / Old Mill North),
M1Y,M2Y,M3Y,M4Y,M5Y,M6Y,M7Y,M8Y,M9Y
Not assigned,Not assigned,Not assigned,Downtown Toronto,Not assigned,Not assigned,East Toronto,Etobicoke,Not assigned
,,,(Church and Wellesley),,,Business reply mailProcessing Centre,(Old Mill South / King's Mill Park / Sunnylea / Humber Bay / MimicoNE / The QueenswayEast / Royal York South East / Kingsway Park South East),
,,,,,,969 Eastern,,
,,,,,,(Enclave of M4L),,
M1Z,M2Z,M3Z,M4Z,M5Z,M6Z,M7Z,M8Z,M9Z
Not assigned,Not assigned,Not assigned,Not assigned,Not assigned,Not assigned,Not assigned,Etobicoke,Not assigned
,,,,,,,(Mimico NW / The Queensway West / South of Bloor / Kingsway Park South West / Royal York South West),